INFO  - 2013-06-26 16:31:24.820; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2013-06-26 16:31:24.826; org.apache.solr.client.solrj.impl.HttpClientUtil; Creating new http client, config:maxConnectionsPerHost=20&maxConnections=10000&socketTimeout=0&connTimeout=0&retry=false
INFO  - 2013-06-26 16:31:24.987; org.apache.solr.core.CoreContainer; Registering Log Listener
INFO  - 2013-06-26 16:31:25.001; org.apache.solr.core.CoreContainer; Creating SolrCore 'pds' using instanceDir: /usr/local/search-service/pds
INFO  - 2013-06-26 16:31:25.001; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/usr/local/search-service/pds/'
INFO  - 2013-06-26 16:31:25.002; org.apache.solr.core.CoreContainer; Creating SolrCore 'experimental' using instanceDir: /usr/local/search-service/experimental
INFO  - 2013-06-26 16:31:25.002; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/usr/local/search-service/experimental/'
INFO  - 2013-06-26 16:31:25.082; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_43
INFO  - 2013-06-26 16:31:25.082; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_43
INFO  - 2013-06-26 16:31:25.169; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2013-06-26 16:31:25.169; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2013-06-26 16:31:25.176; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2013-06-26 16:31:25.176; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2013-06-26 16:31:25.223; org.apache.solr.schema.IndexSchema; Schema name=pds
INFO  - 2013-06-26 16:31:25.227; org.apache.solr.schema.IndexSchema; Schema name=pds
INFO  - 2013-06-26 16:31:25.486; org.apache.solr.schema.IndexSchema; default search field in schema is text
INFO  - 2013-06-26 16:31:25.486; org.apache.solr.schema.IndexSchema; default search field in schema is text
INFO  - 2013-06-26 16:31:25.487; org.apache.solr.schema.IndexSchema; query parser default operator is AND
INFO  - 2013-06-26 16:31:25.487; org.apache.solr.schema.IndexSchema; query parser default operator is AND
INFO  - 2013-06-26 16:31:25.488; org.apache.solr.schema.IndexSchema; unique key field: identifier
INFO  - 2013-06-26 16:31:25.488; org.apache.solr.schema.IndexSchema; unique key field: identifier
INFO  - 2013-06-26 16:31:25.575; org.apache.solr.core.SolrCore; solr.StandardDirectoryFactory
INFO  - 2013-06-26 16:31:25.575; org.apache.solr.core.SolrCore; solr.StandardDirectoryFactory
INFO  - 2013-06-26 16:31:25.582; org.apache.solr.core.SolrCore; [pds] Opening new SolrCore at /usr/local/search-service/pds/, dataDir=/Users/jpadams/Documents/workspace/pds4-workspace/search/search-service/search-service-1.3.0-dev/pds/data/
INFO  - 2013-06-26 16:31:25.582; org.apache.solr.core.SolrCore; JMX monitoring not detected for core: pds
INFO  - 2013-06-26 16:31:25.582; org.apache.solr.core.SolrCore; [experimental] Opening new SolrCore at /usr/local/search-service/experimental/, dataDir=/Users/jpadams/Documents/workspace/pds4-workspace/search/search-service/search-service-1.3.0-dev/experimental/data/
INFO  - 2013-06-26 16:31:25.583; org.apache.solr.core.SolrCore; JMX monitoring not detected for core: experimental
INFO  - 2013-06-26 16:31:25.584; org.apache.solr.core.SolrCore; solr.StandardDirectoryFactory
INFO  - 2013-06-26 16:31:25.584; org.apache.solr.core.SolrCore; solr.StandardDirectoryFactory
INFO  - 2013-06-26 16:31:25.593; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/jpadams/Documents/workspace/pds4-workspace/search/search-service/search-service-1.3.0-dev/pds/data
